head_type,dense_units,drop1,drop2,dense_l2,dense_units2,drop3,lr_phase1,lr_phase2,unfreeze_last_n_layers,best_val_loss,best_val_acc
gap,384,0.2,0.2,1e-05,128,0.3,0.001,0.0001,40,0.07753332704305649,0.9797688126564026
gap,512,0.3,0.3,1e-05,256,0.2,0.0003,0.0001,20,0.07811013609170914,0.9826589822769165
mlp2,256,0.4,0.2,1e-05,192,0.2,0.0005,5e-05,60,0.09157586842775345,0.97398841381073
mlp2,256,0.4,0.2,1e-05,192,0.3,0.0005,0.0001,20,0.1011146679520607,0.9768785834312439
gap_gmp,256,0.2,0.3,0.0001,128,0.3,0.0003,0.0001,40,0.10186115652322769,0.9768785834312439
mlp2,512,0.3,0.4,1e-05,128,0.3,0.0005,0.0001,40,0.10243091732263565,0.9653179049491882
gap,512,0.4,0.3,0.0,256,0.2,0.0003,3e-05,60,0.10682200640439987,0.9710982441902161
swish,384,0.2,0.4,0.0001,192,0.2,0.0003,5e-05,40,0.10747464001178741,0.97398841381073
mlp2,256,0.3,0.4,1e-05,192,0.2,0.0005,0.0001,20,0.10947788506746292,0.9624277353286743
gap_gmp,256,0.2,0.4,1e-05,192,0.2,0.0003,0.0001,20,0.11243484169244766,0.9710982441902161
gap,384,0.4,0.2,0.0001,128,0.3,0.0005,5e-05,20,0.11275680363178253,0.9797688126564026
gap,256,0.4,0.4,0.0001,192,0.3,0.001,3e-05,40,0.11679082363843918,0.9768785834312439
gap_gmp,512,0.4,0.3,0.0001,128,0.2,0.001,5e-05,60,0.12301693111658096,0.9710982441902161
mlp2,384,0.3,0.3,1e-05,256,0.2,0.001,5e-05,20,0.12991228699684143,0.9682080745697021
gap_gmp,512,0.2,0.4,1e-05,256,0.3,0.0005,0.0001,40,0.13375221192836761,0.9595375657081604
gap_gmp,384,0.4,0.3,1e-05,256,0.2,0.0005,5e-05,40,0.1430838406085968,0.9566473960876465
swish,384,0.3,0.3,0.0001,128,0.2,0.001,5e-05,60,0.14405670762062073,0.9624277353286743
swish,384,0.2,0.3,0.0001,128,0.3,0.001,5e-05,40,0.14427773654460907,0.9653179049491882
swish,512,0.4,0.4,0.0001,256,0.3,0.001,3e-05,40,0.14739127457141876,0.9710982441902161
mlp2,256,0.2,0.4,0.0001,192,0.2,0.0005,5e-05,40,0.15135769546031952,0.9653179049491882
mlp2,256,0.3,0.3,1e-05,128,0.3,0.001,3e-05,60,0.1513901799917221,0.9653179049491882
gap,384,0.2,0.3,1e-05,128,0.3,0.0005,3e-05,20,0.15565696358680725,0.9537572264671326
gap_gmp,512,0.3,0.4,1e-05,128,0.3,0.0003,0.0001,60,0.16308702528476715,0.9595375657081604
mlp2,384,0.2,0.4,1e-05,256,0.2,0.001,3e-05,60,0.16367533802986145,0.9566473960876465
mlp2,256,0.3,0.2,0.0001,192,0.2,0.001,5e-05,60,0.1823873519897461,0.9595375657081604
gap_gmp,512,0.4,0.3,0.0001,128,0.2,0.0003,5e-05,20,0.1843397617340088,0.9595375657081604
gap_gmp,512,0.3,0.3,1e-05,192,0.2,0.001,0.0001,20,0.189290851354599,0.9479768872261047
mlp2,256,0.4,0.2,0.0001,256,0.3,0.0005,5e-05,60,0.19350925087928772,0.9595375657081604
mlp2,256,0.2,0.3,0.0001,256,0.2,0.001,3e-05,20,0.19797125458717346,0.9479768872261047
gap_gmp,512,0.3,0.3,0.0001,192,0.2,0.0003,5e-05,40,0.219789057970047,0.9450867176055908
