loss,accuracy,val_loss,val_accuracy,lr
0.9609354138374329,0.6332155466079712,0.6294316053390503,0.7774566411972046,0.0010000000474974513
0.5987876057624817,0.7759717106819153,0.6948506832122803,0.736994206905365,0.0010000000474974513
0.47204259037971497,0.8360424041748047,0.5589061379432678,0.7687861323356628,0.0010000000474974513
0.28315868973731995,0.8968197703361511,0.3442923128604889,0.8728323578834534,2.9999999242136255e-05
0.1399361938238144,0.96042400598526,0.31150296330451965,0.8988439440727234,2.9999999242136255e-05
0.07689190655946732,0.9752650260925293,0.3180258572101593,0.910404622554779,2.9999999242136255e-05
0.040803875774145126,0.9879858493804932,0.3447593152523041,0.9046242833137512,2.9999999242136255e-05
0.03470917418599129,0.9901059865951538,0.424728661775589,0.9046242833137512,2.9999999242136255e-05
0.01673312485218048,0.9971731305122375,0.38914626836776733,0.9161849617958069,1.4999999621068127e-05
0.016558781266212463,0.9971731305122375,0.4306381642818451,0.8988439440727234,1.4999999621068127e-05
0.011008862406015396,0.9985865950584412,0.4889136850833893,0.8988439440727234,1.4999999621068127e-05
0.009023572318255901,0.9992932677268982,0.4311237335205078,0.9075144529342651,7.499999810534064e-06
0.010397541336715221,0.9992932677268982,0.41143953800201416,0.9190751314163208,7.499999810534064e-06
0.008074124343693256,1.0,0.4480768144130707,0.913294792175293,7.499999810534064e-06
0.008476292714476585,0.9992932677268982,0.4653068482875824,0.910404622554779,3.749999905267032e-06
