epoch,loss,dice50,iou50,val_loss,val_dice50,val_iou50,lr
1,0.1235482320189476,0.8990097045898438,0.8218566179275513,0.19415389001369476,0.8273670673370361,0.7163395285606384,0.001
2,0.09138379991054535,0.928986132144928,0.8699687719345093,0.12126432359218597,0.9178811311721802,0.8521783947944641,0.001
3,0.07766961306333542,0.9387106895446777,0.8863579034805298,0.07596544921398163,0.9431368708610535,0.8938086032867432,0.001
4,0.06613650172948837,0.947320818901062,0.9009638428688049,0.0960366427898407,0.9076197743415833,0.8457990288734436,0.001
5,0.05993032082915306,0.950892984867096,0.9071527123451233,0.06590505689382553,0.943788468837738,0.8945339322090149,0.001
6,0.05147484317421913,0.9572671055793762,0.9185308814048767,0.0619746595621109,0.9506951570510864,0.9067119359970093,0.001
7,0.052818577736616135,0.9559867978096008,0.9163035154342651,0.05971532687544823,0.9449325799942017,0.8965685963630676,0.001
8,0.04963374510407448,0.9579555988311768,0.92002934217453,0.055944379419088364,0.9571262001991272,0.9182915091514587,0.001
9,0.0430193692445755,0.9633164405822754,0.9295867681503296,0.05892997980117798,0.9527868032455444,0.9105055928230286,0.001
10,0.041893668472766876,0.9638081789016724,0.9305022954940796,0.06162652745842934,0.9520542025566101,0.9090536236763,0.001
11,0.03991395980119705,0.9655392169952393,0.9336903691291809,0.060266755521297455,0.9483476877212524,0.9037477374076843,0.001
12,0.03533150255680084,0.9689230918884277,0.9399594068527222,0.057406142354011536,0.9531418085098267,0.9112213850021362,0.0005
13,0.03353486582636833,0.9702210426330566,0.94239342212677,0.05316226929426193,0.9521627426147461,0.9100488424301147,0.0005
14,0.032214827835559845,0.971399188041687,0.9445961713790894,0.05339137464761734,0.9505702257156372,0.9070701599121094,0.0005
15,0.0313626304268837,0.9723260402679443,0.946342408657074,0.05876220762729645,0.9470428824424744,0.9018774032592773,0.0005
16,0.030728496611118317,0.972532331943512,0.9467296004295349,0.06438786536455154,0.944741427898407,0.8971973657608032,0.0005
17,0.028107058256864548,0.974994421005249,0.9513624310493469,0.052969980984926224,0.9535761475563049,0.9121265411376953,0.00025
18,0.027337098494172096,0.9756783246994019,0.9526513814926147,0.05576884001493454,0.9528710842132568,0.9116169214248657,0.00025
19,0.026738008484244347,0.976139485836029,0.9535293579101562,0.05779680237174034,0.9484754204750061,0.9038141369819641,0.00025
20,0.02576538547873497,0.9769831895828247,0.9551229476928711,0.05496794730424881,0.9553963541984558,0.9154011607170105,0.00025
21,0.024603314697742462,0.9780373573303223,0.9571313858032227,0.05944937467575073,0.9473313093185425,0.9020497798919678,0.000125
22,0.024056050926446915,0.9785164594650269,0.9580427408218384,0.05680098012089729,0.9528219699859619,0.910955548286438,0.000125
23,0.023641876876354218,0.9789289832115173,0.9588279724121094,0.058262355625629425,0.9522714018821716,0.9098206758499146,0.000125
